Номер заявки,Область,Район хозяйства,Направление водства,Причитающая сумма,Норматив,Статус заявки,score,score_pct,рекомендация,ранг_в_области
1200100313641.0,Актюбинская область,Шалкарский район,Субсидирование в скотоводстве,1760000.0,10000.0,Исполнена,0.993622435942881,99.4,✅ Рекомендовать,56
1200100293704.0,Актюбинская область,Шалкарский район,Субсидирование в скотоводстве,1700000.0,10000.0,Исполнена,0.993622435942881,99.4,✅ Рекомендовать,56
1200100326644.0,Павлодарская область,Баянаульский район,Субсидирование в скотоводстве,870000.0,10000.0,Исполнена,0.9936065949641008,99.4,✅ Рекомендовать,6
1200100323895.0,Павлодарская область,Баянаульский район,Субсидирование в скотоводстве,900000.0,10000.0,Исполнена,0.9936065949641008,99.4,✅ Рекомендовать,6
1200100283646.0,Павлодарская область,Баянаульский район,Субсидирование в скотоводстве,860000.0,10000.0,Исполнена,0.9936065949641008,99.4,✅ Рекомендовать,6
1300100316266.0,область Абай,Абайский район,Субсидирование в скотоводстве,930000.0,15000.0,Исполнена,0.9936041829909754,99.4,✅ Рекомендовать,9
1200100293011.0,Актюбинская область,Айтекебийский район,Субсидирование в скотоводстве,820000.0,10000.0,Исполнена,0.9935795034207241,99.4,✅ Рекомендовать,59
1200100319243.0,Актюбинская область,Мартукский район,Субсидирование в скотоводстве,500000.0,10000.0,Исполнена,0.9935766123582072,99.4,✅ Рекомендовать,60
1200100283682.0,область Абай,Абайский район,Субсидирование в скотоводстве,1050000.0,10000.0,Исполнена,0.9935694484961484,99.4,✅ Рекомендовать,10
1300100266839.0,область Абай,Аягозский район,Субсидирование в скотоводстве,1350000.0,15000.0,Исполнена,0.9935676171864506,99.4,✅ Рекомендовать,11
1300100293626.0,область Абай,Аягозский район,Субсидирование в скотоводстве,1410000.0,15000.0,Исполнена,0.9935676171864506,99.4,✅ Рекомендовать,11
1200100291452.0,Актюбинская область,Шалкарский район,Субсидирование в скотоводстве,2330000.0,10000.0,Исполнена,0.9935598732996545,99.4,✅ Рекомендовать,61
1200100303436.0,Актюбинская область,Хобдинский район,Субсидирование в скотоводстве,2320000.0,10000.0,Исполнена,0.9935598732996545,99.4,✅ Рекомендовать,61
1200100308084.0,Актюбинская область,Мартукский район,Субсидирование в скотоводстве,560000.0,10000.0,Исполнена,0.9935509967166599,99.4,✅ Рекомендовать,63
1200100323274.0,область Абай,Абайский район,Субсидирование в скотоводстве,920000.0,10000.0,Исполнена,0.9935250510101682,99.4,✅ Рекомендовать,13
1200100315954.0,Павлодарская область,Баянаульский район,Субсидирование в скотоводстве,1080000.0,10000.0,Исполнена,0.9935211463213081,99.4,✅ Рекомендовать,9
1200100283976.0,Павлодарская область,Баянаульский район,Субсидирование в скотоводстве,1060000.0,10000.0,Исполнена,0.9935211463213081,99.4,✅ Рекомендовать,9
1300100326209.0,Актюбинская область,Алгинский район,Субсидирование в скотоводстве,1110000.0,15000.0,Исполнена,0.9934411806212403,99.3,✅ Рекомендовать,64
1300100269764.0,Павлодарская область,Баянаульский район,Субсидирование в скотоводстве,300000.0,15000.0,Исполнена,0.9934265199957307,99.3,✅ Рекомендовать,11
1300100321548.0,область Абай,Бескарагайский район,Субсидирование в скотоводстве,900000.0,15000.0,Исполнена,0.993423550598946,99.3,✅ Рекомендовать,14
1300100258544.0,область Абай,Абайский район,Субсидирование в скотоводстве,3495000.0,15000.0,Исполнена,0.993401796554673,99.3,✅ Рекомендовать,15
1300100262551.0,область Абай,Абайский район,Субсидирование в скотоводстве,3150000.0,15000.0,Исполнена,0.993401796554673,99.3,✅ Рекомендовать,15
1300100307591.0,Актюбинская область,Байганинский район,Субсидирование в скотоводстве,300000.0,15000.0,Исполнена,0.9934000477108931,99.3,✅ Рекомендовать,65
1200100306168.0,Павлодарская область,Баянаульский район,Субсидирование в скотоводстве,1050000.0,10000.0,Исполнена,0.9933813569327082,99.3,✅ Рекомендовать,12
1300100306646.0,Актюбинская область,Алгинский район,Субсидирование в скотоводстве,840000.0,15000.0,Исполнена,0.9933384875012454,99.3,✅ Рекомендовать,66
1200100308071.0,Актюбинская область,Айтекебийский район,Субсидирование в скотоводстве,1500000.0,10000.0,Исполнена,0.9933374069436535,99.3,✅ Рекомендовать,67
1200100296440.0,Павлодарская область,Баянаульский район,Субсидирование в скотоводстве,750000.0,10000.0,Исполнена,0.9933351553277177,99.3,✅ Рекомендовать,13
1300100271516.0,область Абай,Абайский район,Субсидирование в скотоводстве,1665000.0,15000.0,Исполнена,0.993307531109916,99.3,✅ Рекомендовать,17
1300100258413.0,область Абай,Абайский район,Субсидирование в скотоводстве,2250000.0,15000.0,Исполнена,0.993307531109916,99.3,✅ Рекомендовать,17
1200100314728.0,Актюбинская область,Мартукский район,Субсидирование в скотоводстве,940000.0,10000.0,Исполнена,0.9933060992483476,99.3,✅ Рекомендовать,68
1200100305358.0,Актюбинская область,Уилский район,Субсидирование в скотоводстве,1500000.0,10000.0,Исполнена,0.9932954891912019,99.3,✅ Рекомендовать,69
1300100294994.0,Актюбинская область,Мугалжарский район,Субсидирование в скотоводстве,900000.0,15000.0,Исполнена,0.9932685923300596,99.3,✅ Рекомендовать,70
1200100310128.0,область Абай,Бескарагайский район,Субсидирование в скотоводстве,1200000.0,10000.0,Исполнена,0.993264279644264,99.3,✅ Рекомендовать,19
1300100322736.0,Актюбинская область,Мугалжарский район,Субсидирование в скотоводстве,780000.0,15000.0,Исполнена,0.9932217766056367,99.3,✅ Рекомендовать,71
1300100320427.0,Павлодарская область,Баянаульский район,Субсидирование в скотоводстве,360000.0,15000.0,Исполнена,0.9931975593294138,99.3,✅ Рекомендовать,14
1300100276286.0,Павлодарская область,район Аққулы,Субсидирование в скотоводстве,750000.0,15000.0,Исполнена,0.9931867943189565,99.3,✅ Рекомендовать,15
1200100310770.0,Актюбинская область,Мартукский район,Субсидирование в скотоводстве,170000.0,10000.0,Исполнена,0.9931718951888728,99.3,✅ Рекомендовать,72
1200100311075.0,Актюбинская область,Темирский район,Субсидирование в скотоводстве,2440000.0,10000.0,Исполнена,0.9931635938349838,99.3,✅ Рекомендовать,73
1300100299942.0,Павлодарская область,Баянаульский район,Субсидирование в скотоводстве,375000.0,15000.0,Исполнена,0.993139133900641,99.3,✅ Рекомендовать,16
1300100285736.0,Павлодарская область,Баянаульский район,Субсидирование в скотоводстве,375000.0,15000.0,Исполнена,0.993139133900641,99.3,✅ Рекомендовать,16
1200100303441.0,Павлодарская область,Экибастуз Г.А.,Субсидирование в скотоводстве,1340000.0,10000.0,Исполнена,0.9931331460893998,99.3,✅ Рекомендовать,18
1200100298542.0,Актюбинская область,Алгинский район,Субсидирование в скотоводстве,900000.0,10000.0,Исполнена,0.9931304302908125,99.3,✅ Рекомендовать,74
1300100310079.0,Актюбинская область,Алгинский район,Субсидирование в скотоводстве,750000.0,15000.0,Исполнена,0.9930897311475186,99.3,✅ Рекомендовать,75
1200100298027.0,Актюбинская область,Айтекебийский район,Субсидирование в скотоводстве,560000.0,10000.0,Исполнена,0.993072448784619,99.3,✅ Рекомендовать,76
1200100284356.0,Актюбинская область,Уилский район,Субсидирование в скотоводстве,1660000.0,10000.0,Исполнена,0.9930705305140092,99.3,✅ Рекомендовать,77
1200100320524.0,Актюбинская область,Уилский район,Субсидирование в скотоводстве,1800000.0,10000.0,Исполнена,0.9930705305140092,99.3,✅ Рекомендовать,77
1200100311282.0,Актюбинская область,Уилский район,Субсидирование в скотоводстве,1700000.0,10000.0,Исполнена,0.9930705305140092,99.3,✅ Рекомендовать,77
1200100288898.0,Актюбинская область,Иргизский район,Субсидирование в скотоводстве,900000.0,10000.0,Исполнена,0.9930577881629121,99.3,✅ Рекомендовать,80
1200100309395.0,Актюбинская область,Иргизский район,Субсидирование в скотоводстве,840000.0,10000.0,Исполнена,0.9930577881629121,99.3,✅ Рекомендовать,80
1200100299396.0,Актюбинская область,Иргизский район,Субсидирование в скотоводстве,850000.0,10000.0,Исполнена,0.9930577881629121,99.3,✅ Рекомендовать,80
1200100321379.0,Актюбинская область,Иргизский район,Субсидирование в скотоводстве,770000.0,10000.0,Исполнена,0.9930577881629121,99.3,✅ Рекомендовать,80
1200100295216.0,Актюбинская область,Мугалжарский район,Субсидирование в скотоводстве,300000.0,10000.0,Исполнена,0.9930398545445775,99.3,✅ Рекомендовать,84
1300100260238.0,Павлодарская область,Баянаульский район,Субсидирование в скотоводстве,420000.0,15000.0,Исполнена,0.9930376126877987,99.3,✅ Рекомендовать,19
1200100290564.0,Актюбинская область,Алгинский район,Субсидирование в скотоводстве,1200000.0,10000.0,Исполнена,0.9930166351571116,99.3,✅ Рекомендовать,85
700100381367.0,Актюбинская область,Шалкарский район,Субсидирование в скотоводстве,150000.0,260000.0,Исполнена,0.9929467089518285,99.3,✅ Рекомендовать,86
1300100288914.0,Актюбинская область,Иргизский район,Субсидирование в скотоводстве,450000.0,15000.0,Исполнена,0.9929352382629629,99.3,✅ Рекомендовать,87
1200100322905.0,Павлодарская область,Баянаульский район,Субсидирование в скотоводстве,610000.0,10000.0,Исполнена,0.9929084580524574,99.3,✅ Рекомендовать,20
1300100322878.0,Павлодарская область,Баянаульский район,Субсидирование в скотоводстве,645000.0,15000.0,Исполнена,0.9929056043896392,99.3,✅ Рекомендовать,21
1200100292624.0,область Абай,Бескарагайский район,Субсидирование в скотоводстве,750000.0,10000.0,Исполнена,0.9928748145693156,99.3,✅ Рекомендовать,20
1300100270984.0,Павлодарская область,район Аққулы,Субсидирование в скотоводстве,570000.0,15000.0,Исполнена,0.9928702281136459,99.3,✅ Рекомендовать,22
1200100288319.0,Актюбинская область,Айтекебийский район,Субсидирование в скотоводстве,600000.0,10000.0,Исполнена,0.9928556969290377,99.3,✅ Рекомендовать,88
1200100325291.0,Актюбинская область,Айтекебийский район,Субсидирование в скотоводстве,600000.0,10000.0,Исполнена,0.9928556969290377,99.3,✅ Рекомендовать,88
1200100293259.0,область Абай,Абайский район,Субсидирование в скотоводстве,1010000.0,10000.0,Исполнена,0.9928351109249153,99.3,✅ Рекомендовать,21
1300100264610.0,Актюбинская область,Актобе Г.А.,Субсидирование в скотоводстве,1845000.0,15000.0,Исполнена,0.9928292525340477,99.3,✅ Рекомендовать,90
1300100276994.0,Актюбинская область,Алгинский район,Субсидирование в скотоводстве,2040000.0,15000.0,Исполнена,0.9928292525340477,99.3,✅ Рекомендовать,90
1200100315716.0,область Абай,Абайский район,Субсидирование в скотоводстве,550000.0,10000.0,Исполнена,0.9928231931793466,99.3,✅ Рекомендовать,22
1300100294851.0,Павлодарская область,район Аққулы,Субсидирование в скотоводстве,1065000.0,15000.0,Исполнена,0.9928192919199085,99.3,✅ Рекомендовать,23
1200100305701.0,Павлодарская область,Баянаульский район,Субсидирование в скотоводстве,1030000.0,10000.0,Исполнена,0.9928161854990452,99.3,✅ Рекомендовать,24
1200100294859.0,область Абай,Абайский район,Субсидирование в скотоводстве,430000.0,10000.0,Исполнена,0.9928102402468103,99.3,✅ Рекомендовать,23
1200100290883.0,Актюбинская область,Айтекебийский район,Субсидирование в скотоводстве,660000.0,10000.0,Исполнена,0.992807017560221,99.3,✅ Рекомендовать,92
1200100285434.0,Актюбинская область,Алгинский район,Субсидирование в скотоводстве,1080000.0,10000.0,Исполнена,0.992806890147327,99.3,✅ Рекомендовать,93
1200100311415.0,Актюбинская область,Иргизский район,Субсидирование в скотоводстве,550000.0,10000.0,Исполнена,0.9927881091054395,99.3,✅ Рекомендовать,94
1200100303885.0,Актюбинская область,Иргизский район,Субсидирование в скотоводстве,530000.0,10000.0,Исполнена,0.9927881091054395,99.3,✅ Рекомендовать,94
1200100291274.0,Актюбинская область,Темирский район,Субсидирование в скотоводстве,1010000.0,10000.0,Исполнена,0.9927644669374305,99.3,✅ Рекомендовать,96
1200100293124.0,Актюбинская область,Иргизский район,Субсидирование в скотоводстве,1200000.0,10000.0,Исполнена,0.9927572543340647,99.3,✅ Рекомендовать,97
1200100326665.0,Павлодарская область,Баянаульский район,Субсидирование в скотоводстве,1800000.0,10000.0,Исполнена,0.9927541932121476,99.3,✅ Рекомендовать,25
1200100283515.0,Павлодарская область,Баянаульский район,Субсидирование в скотоводстве,1800000.0,10000.0,Исполнена,0.9927541932121476,99.3,✅ Рекомендовать,25
1200100297760.0,Павлодарская область,Баянаульский район,Субсидирование в скотоводстве,2010000.0,10000.0,Исполнена,0.9927541932121476,99.3,✅ Рекомендовать,25
1200100326519.0,Павлодарская область,Баянаульский район,Субсидирование в скотоводстве,2250000.0,10000.0,Исполнена,0.9927541932121476,99.3,✅ Рекомендовать,25
1200100287432.0,область Абай,Абайский район,Субсидирование в скотоводстве,660000.0,10000.0,Исполнена,0.9927455021277269,99.3,✅ Рекомендовать,24
1300100322092.0,Актюбинская область,Иргизский район,Субсидирование в скотоводстве,975000.0,15000.0,Исполнена,0.9927454438617267,99.3,✅ Рекомендовать,98
1200100320424.0,Актюбинская область,Мугалжарский район,Субсидирование в скотоводстве,1270000.0,10000.0,Исполнена,0.992721814726042,99.3,✅ Рекомендовать,99
1300100287171.0,Павлодарская область,район Аққулы,Субсидирование в скотоводстве,1500000.0,15000.0,Исполнена,0.9926960698210504,99.3,✅ Рекомендовать,29
1200100318694.0,Павлодарская область,Баянаульский район,Субсидирование в скотоводстве,490000.0,10000.0,Исполнена,0.992695434523314,99.3,✅ Рекомендовать,30
1200100300384.0,Павлодарская область,Баянаульский район,Субсидирование в скотоводстве,500000.0,10000.0,Исполнена,0.992695434523314,99.3,✅ Рекомендовать,30
1200100287306.0,Павлодарская область,Баянаульский район,Субсидирование в скотоводстве,500000.0,10000.0,Исполнена,0.992695434523314,99.3,✅ Рекомендовать,30
1200100310675.0,Павлодарская область,Баянаульский район,Субсидирование в скотоводстве,480000.0,10000.0,Исполнена,0.992695434523314,99.3,✅ Рекомендовать,30
1200100298947.0,Павлодарская область,Баянаульский район,Субсидирование в скотоводстве,500000.0,10000.0,Исполнена,0.992695434523314,99.3,✅ Рекомендовать,30
1200100292484.0,Павлодарская область,Баянаульский район,Субсидирование в скотоводстве,500000.0,10000.0,Исполнена,0.992695434523314,99.3,✅ Рекомендовать,30
1200100317747.0,Актюбинская область,Мартукский район,Субсидирование в скотоводстве,1800000.0,10000.0,Исполнена,0.9926907339043242,99.3,✅ Рекомендовать,100
1200100318375.0,Павлодарская область,Баянаульский район,Субсидирование в скотоводстве,600000.0,10000.0,Исполнена,0.9926663307954908,99.3,✅ Рекомендовать,36
1200100307774.0,Павлодарская область,Баянаульский район,Субсидирование в скотоводстве,600000.0,10000.0,Исполнена,0.9926663307954908,99.3,✅ Рекомендовать,36
1200100284619.0,Павлодарская область,Баянаульский район,Субсидирование в скотоводстве,600000.0,10000.0,Исполнена,0.9926663307954908,99.3,✅ Рекомендовать,36
1200100285325.0,Туркестанская область,Казыгуртский район,Субсидирование в скотоводстве,230000.0,10000.0,Исполнена,0.9926633541361218,99.3,✅ Рекомендовать,1
1300100274822.0,Актюбинская область,Мугалжарский район,Субсидирование в скотоводстве,3075000.0,15000.0,Исполнена,0.9926618886829719,99.3,✅ Рекомендовать,101
1200100293929.0,Актюбинская область,Мугалжарский район,Субсидирование в скотоводстве,900000.0,10000.0,Исполнена,0.99265328236397,99.3,✅ Рекомендовать,102
1200100315085.0,Актюбинская область,Мугалжарский район,Субсидирование в скотоводстве,880000.0,10000.0,Исполнена,0.99265328236397,99.3,✅ Рекомендовать,102
1200100287798.0,Павлодарская область,Баянаульский район,Субсидирование в скотоводстве,990000.0,10000.0,Исполнена,0.9926301416420155,99.3,✅ Рекомендовать,39
1300100298062.0,Актюбинская область,Иргизский район,Субсидирование в скотоводстве,2220000.0,15000.0,Исполнена,0.9926224180210595,99.3,✅ Рекомендовать,104
1300100260404.0,область Абай,Кокпектинский район,Субсидирование в скотоводстве,840000.0,15000.0,Исполнена,0.9926145875192609,99.3,✅ Рекомендовать,25
1300100261004.0,область Абай,Кокпектинский район,Субсидирование в скотоводстве,900000.0,15000.0,Исполнена,0.9926145875192609,99.3,✅ Рекомендовать,25
1200100323640.0,Павлодарская область,Павлодарский район,Субсидирование в скотоводстве,1250000.0,10000.0,Исполнена,0.9926142250147625,99.3,✅ Рекомендовать,40
1300100266536.0,Павлодарская область,район Аққулы,Субсидирование в скотоводстве,1920000.0,15000.0,Исполнена,0.9926062842117469,99.3,✅ Рекомендовать,41
1300100290523.0,Актюбинская область,Каргалинский район,Субсидирование в скотоводстве,2055000.0,15000.0,Исполнена,0.992557499905702,99.3,✅ Рекомендовать,105
1200100316518.0,Актюбинская область,Алгинский район,Субсидирование в скотоводстве,300000.0,10000.0,Исполнена,0.9925547400715564,99.3,✅ Рекомендовать,106
